date,away,home,away_spread,home_spread,total_line,away_score,home_score,away_offrtg,away_defrtg,away_reb_percent,away_tov_percent,away_ts_percent,away_pace,away_pie,home_offrtg,home_defrtg,home_reb_percent,home_tov_percent,home_ts_percent,home_pace,home_pie
20241205,thunder,raptors,-10.5,10.5,227.5,129,92,115.1,105.4,47.5,11.1,56.0,97.55,55.5,113.6,110.8,52.9,16.2,57.4,99.27,51.8
20241205,kings,grizzlies,3.5,-3.5,242.5,110,115,114.3,117.0,51.0,14.7,57.4,97.39,48.2,115.8,108.2,51.5,15.7,58.5,105.15,54.7
20241205,suns,pelicans,-1.5,1.5,222.5,124,126,113.0,115.7,50.5,14.2,58.2,97.8,48.1,101.4,117.1,47.5,15.2,51.1,99.45,41.6
20241205,bulls,spurs,1.5,-1.5,236.5,139,124,117.6,120.9,47.8,13.5,61.5,104.7,48.4,113.6,114.1,48.1,13.0,57.2,99.9,50.8
20241205,rockets,warriors,-4.5,4.5,218.5,93,99,112.9,103.3,52.8,13.0,55.0,102.42,55.8,108.2,108.4,52.0,14.2,53.9,102.5,49.3
20241206,magic,76ers,-3.5,3.5,209.5,94,102,114.3,108.2,50.5,15.3,57.9,95.9,54.8,107.0,112.0,47.4,14.8,55.1,96.2,46.9
20241206,bucks,celtics,7.5,-7.5,229.5,105,111,117.5,111.6,48.2,14.1,62.0,99.36,53.0,122.5,111.9,51.0,11.4,60.4,97.73,54.3
20241206,pacers,bulls,-3.5,3.5,246.5,132,123,109.1,116.2,47.5,15.2,57.7,103.4,46.3,119.2,119.3,48.4,13.7,62.0,104.4,49.9
20241206,kings,spurs,-3.5,3.5,227.5,140,113,112.5,115.5,50.6,14.7,56.3,98.45,47.3,112.3,115.0,47.9,13.1,56.1,99.8,49.2
20241206,timberwolves,warriors,1.5,-1.5,221.5,107,90,109.3,106.2,49.3,14.9,56.9,96.98,51.7,106.8,106.8,52.0,14.0,53.3,101.85,49.2
20241206,jazz,blazers,3.5,-3.5,225.5,141,99,112.0,120.6,52.6,18.5,58.3,98.35,44.9,107.8,115.3,48.9,18.0,55.2,99.45,45.2
20241207,cavaliers,hornets,-12.5,12.5,218.5,116,102,119.4,110.4,49.4,13.7,61.4,102.45,53.6,109.0,116.0,49.7,16.4,54.0,95.9,45.0
20241207,nuggets,wizards,-14.5,14.5,231.5,113,122,113.0,113.7,48.4,14.0,58.6,101.65,50.8,99.8,119.7,49.2,15.4,52.2,103.35,39.3
20241207,thunder,pelicans,-8.5,8.5,224.5,119,109,116.1,104.8,48.7,10.9,56.4,98.6,56.4,102.8,118.9,46.7,14.8,51.7,100.5,41.2
20241207,pistons,knicks,9.5,-9.5,225.5,120,111,112.5,117.1,50.0,16.0,57.8,98.67,48.0,124.6,112.4,52.2,12.9,63.0,97.2,57.0
20241207,mavericks,raptors,-8.5,8.5,234.5,125,118,121.1,109.3,53.7,15.0,61.5,102.28,55.7,112.8,113.5,53.1,16.6,57.7,99.61,50.3
20241207,grizzlies,celtics,6.5,-6.5,238.5,127,121,115.9,107.3,51.8,16.4,59.7,104.8,55.6,120.1,111.2,49.8,11.2,59.6,97.48,53.9
20241207,suns,heat,6.5,-6.5,220.5,111,121,112.3,116.0,50.7,14.8,58.3,98.7,48.3,114.8,109.1,49.8,12.8,57.5,96.89,52.1
20241208,76ers,bulls,1.5,-1.5,234.5,108,100,106.7,110.1,47.3,15.2,55.2,96.05,47.6,121.7,119.3,49.0,13.5,63.7,103.5,51.0
20241208,bucks,nets,-6.5,6.5,219.5,118,113,117.0,112.0,48.7,14.0,61.2,99.1,51.9,111.1,115.8,45.4,15.4,58.9,96.85,46.5
20241208,hornets,pacers,11.5,-11.5,221.5,113,109,108.5,116.0,49.7,16.6,54.2,95.06,44.8,110.4,115.7,48.6,15.4,59.0,103.35,47.4
20241208,nuggets,hawks,2.5,-2.5,241.5,141,111,113.6,114.4,49.4,14.5,58.7,102.8,50.7,111.5,110.1,52.7,15.4,56.5,105.11,52.3
20241208,cavaliers,heat,-3.5,3.5,224.5,113,122,118.8,109.9,49.9,13.8,60.6,100.7,53.8,115.3,109.7,50.1,13.1,57.4,96.3,51.9
